I believe in America.|我相信美国
Gimme three of them. No, that one.|来3个, 不, 那个给我
Fredo!|弗雷多!
Papa!|爸爸!
Mike, Would you like me better if I were a nun?|迈克, 如果我是修女你会更喜欢我吗?
Like in the story, you know?|就像小说里的一样, 你知道吗?
No.|不会
Well then would you like me better if I were Ingrid Bergman?|如果我是英格丽·褒曼你会更喜欢我吗?
Now that's a thought.|这个想法不错
Michael.|迈克尔
No, I would not like you better if you were Ingrid Bergman.|不, 如果你是英格丽褒曼我不会更喜欢你
-Mike... -What's the matter?|-迈克... -怎么了?
They don't say if he's dead or alive.|上面没说他是死是活
-Sonny, Michael. -Michael, where you been?|-桑尼, 我是迈克尔  -迈克尔, 你到哪去了?
-Is he all right? -We don't know yet. There's all kinds of stories.|-他没事吧?  -我们还不知道, 有各种各样的说法
He was hit bad, Mikey.|他伤的很重, 迈克
-Are you there? -Yeah, I'm here.|-你还在吗? -是的, 我在
-Where you been? I was worried. -Didn't Tom tell you I called?|-你到哪去了? 我很担心  -汤姆没说我打过电话吗?
No. Look, come home, kid. You should be with Mama, you hear?|没有, 听我说, 回家来, 弟弟, 你应该陪妈妈, 听到了吗?
All right.|好的
Oh, my God.|哦, 我的天啊
Sonny.|桑尼
Stay back there. Go.|待在后面, 去
-Who is it? -Open up. It's Clemenza.|-谁  -开门, 我是克莱门扎
There's more news about your old man.|又有你老头的消息了
Word is out on the street he's already dead.|街头谣传他已经死了
-What's the matter... What's the matter with you? -Sonny, take it easy! Take it easy!|-你怎么... 你怎么回事?  -桑尼, 放松点! 放松点!
Where was Paulie?|保利在哪?
Paulie was out sick. He's been sick all winter.|保利病了, 他整个冬天都在生病
-How many times he been sick? -Only maybe three, four times.|-他病了几次?  -大概3, 4次
I asked Freddy if he wants a different bodyguard. He said no.|我问弗雷要不要换一个保镖, 他说不用
Do me a favour, pick him up right now. I don't care how sick he is.|帮我个忙, 现在就去接他, 我不管他病得有多重
If he's breathin', I want you to bring him to my father's house now.|只要他还在呼吸, 我要你现在就把他带到我父亲的房子去
You understand? Now!|你明白吗? 现在!
Yeah, You want me to send people here?|好, 你想让我派人到这边来吗?
No, no, no. Just you and him. Go ahead.|不用, 只需你和他, 去吧
All right. I'm havin' a couple of our people come to the house.|好吧, 我已经派了几个人来了
-Hello? -Santino Corleone?|-你好?  -桑蒂诺·柯里昂吗?
-Yeah. -We have Tom hagen.|-我是 -汤姆·哈根在我们手上
In about three hours, he'll be released with our proposition.|大约3小时后, 我们会释放他
Listen to everything he has to say before you do anything.|在你做任何事之前, 先听听他说的话
What's done is done.|木己成舟
And don't lose that famous temper of yours, huh, Sonny?|别发你那出名的脾气, 好吗, 桑尼?
No, I'll wait.|不会的, 我会等
Your boss is dead.|你的老板死了
I know you're not in the muscle end of the family, Tom|我知道你不是这个家族喜欢动武的一员
so I don't want you to be scared.|所以我不想让你害怕
I want you to help the Corleones and I want you to help me.|我希望你能帮助柯里昂一家, 我希望你也能帮助我
Yeah, we got him outside his office|接了你大约1小时后
about an hour after we picked you up.|我们己在他的办公室外干掉他了
Drink it.|喝吧
So now, it's up to you to make the peace between me and Sonny.|现在全看你的了, 让我与桑尼和平解决一切
Sonny was hot for my deal, wasn't he?|桑尼对我的交易很热衷, 不是吗?
And you knew it was the right thing to do.|而且你知道这是正确的做法
Sonny will come after you with everything he's got.|桑尼会不惜一切追杀你的
That'll be his first reaction, sure.|这肯定是他的第一反应
That's why you gotta talk some sense into him.|所以你必须得跟他讲点道理
The Tattaglia family is behind me with all their people.|塔塔基利亚家族和他们所有的人都支持我
The other New York families|纽约其它的家族
will go along with anything that will prevent a full-scale war.|将支持任何能阻止全面战争的措施
Let's face it, Tom|让我们面对现实吧, 汤姆
and all due respect|我们全都尊敬他
the Don, rest in peace, was slippin'.|但教父己今非昔比, 愿他安息
Ten years ago, could I have gotten to him?|10年前我能对付他吗?
Well, now he's dead.|现在他已经死了
He's dead, Tom|他死了, 汤姆
and nothing can bring him back.|没有什么能让他复生
So you gotta talk to Sonny.|所以你得和桑尼谈谈
You gotta talk to the caporegimes, that Tessio, that fat Clemenza.|也得说服两个大头目, 那个泰西欧, 那个肥仔克莱门扎
It's good business, Tom.|那是笔好生意, 汤姆
I'll try.|我试试看
But even Sonny won't be able to call off Luca Brasi.|不过即使是桑尼也阻止不了卢卡·布拉西
Yeah. Well... Let me worry about Luca.|是啊, 呃... 这个卢卡让我来担心
You just talk to Sonny.|你只管说服桑尼
And the other two kids.|以及他另外两个兄弟
-I'll do my best. -Good.|-我尽力而为  -很好
Now, you can go.|现在, 你可以走了
I don't like violence, Tom. I'm a businessman.|我不喜欢暴力, 汤姆, 我是个生意人
Blood is a big expense.|流血的代价太高了
He's still alive.|他还活着
They hit him with five shots, and he's still alive!|他们打了他5枪, 他还活着!
That's bad luck for me|这对我来说是坏运气
and bad luck for you if you don't make that deal.|如果如果你做不成这笔交易, 你也会倒霉
Michael.|迈克尔
Your mother's over in the hospital with your father.|你妈妈在医院陪着你爸爸
Looks like he's gonna pull through, thank God.|看起来他会挺过来的, 感谢上帝
-That's a lot of bad blood. -What do you think? -Sollozzo, Philip Tattaglia, Bruno Tattaglia, Ramon...|-这是血海深仇  -你觉得呢? -索洛佐, 菲利普·塔塔格里亚, 布鲁诺·塔塔格利亚, 拉蒙...
It's too far. I think it's too personal.|太过分了, 我觉得这不是冲着你来的
-You gonna kill all those guys? -Hey, stay out of it, Mickey. Do me a favour.|-你要把那些家伙都杀了吗?  -嘿, 迈克, 帮我个忙, 别插手
Sollozzo's the key. You get rid of him, everything falls into line.|索洛佐是关键, 除掉他一切就好办了
What about Luca? Sollozzo didn't seem worried about Luca.|卢卡呢? 索洛佐似乎并不担心卢卡
I don't know.|我不知道
If Luca sold out, we're in a lot of trouble.|如果卢卡出卖了我们, 我们就麻烦大了
Has anyone been able to get in touch with Luca?|有人能联系上卢卡吗?
We've been tryin' all night. He might be shacked up.|我们试了一整夜, 他可能住在别处了
Hey, Mickey, do me a favor, try him again.|迈克, 帮我个忙, 再打电话给卢卡
Luca never sleeps over with a broad. He always goes home when he's through.|卢卡从不在外留宿, 他办完事总会立刻回家
Well, Tom, you're consigliere.|汤姆, 你是军师
What do we do if the old man dies, God forbid?|上帝保佑, 要是老头死了, 我们该怎么办?
If we lose the old man|万一我们失去了老头
we lose our political contacts and half our strength.|我们就失去了政治人脉, 失去了一半的力量
The other New York families might wind up supporting Sollozzo|纽约其它的家族为了避免长期的毁灭性战争
just to avoid a long destructive war.|可能会联合支持索洛佐
This is almost 1946.|现在差不多是1946年了
Nobody wants bloodshed anymore.|没有人想再流血了
If your father dies|如果你父亲死了
you'll make the deal, Sonny.|就由你来做决定了, 桑尼
That's easy for you to say. He's not your father.|你说得倒轻巧, 那不是你父亲
I was as much a son to him as you or Mike.|我对他来说就像你或迈克一样, 都是儿子
What is it?|什么事?
Hey, Paulie, I thought I told you to stay put.|嘿, 保利, 我叫你在外面守着
The guy at the gates, they say they got a package.|大门口的人, 他们说收到了一包东西
Yeah? Tessio, go see what it is.|是吗? 泰西欧, 去看看是怎么回事
You want me to hang around?|你想让我留在这儿吗?
-Yeah, hang around.-You all right?|-是的, 留在这儿吧  -你还好吧?
I'm fine.|我很好
Yeah? There's some food in the icebox. You hungry?|是吗? 冰箱里有一些食物, 你饿了吗?
No, it's all right. Thanks.|不, 没关系, 谢谢
How 'bout a little brandy? That's good to sweat it out.|来点儿白兰地怎么样? 出汗是件好事
-Sure. -Go ahead, son.|-是的 -去吧, 孩子
That might be a good idea.|这也许是个好主意
I want you to take care of that son of a bitch right away.|我要你马上解决掉那个王八蛋
Paulie sold out the old man.|保利出卖了老头
I don't wanna see him again.|我不想再见到他
Make that first thing on your list. Understand?|这是你清单上的第一件事, 明白吗?
Understood.|明白
Hey, Mickey, tomorrow you get a couple of guys.|嘿, 迈克, 明天你带几个人
Go to Luca's apartment. Wait for him to show up.|到卢卡的公寓去看看, 等他出现
Maybe we shouldn't get Mike mixed up in this too directly.|也许我们不该直接把迈克牵扯进来
Listen, hang around the house on the phone. It'll be a big help.|听我说, 待在家里接电话, 那会有大帮助的
Try Luca again. Go ahead.|再试试打给卢卡, 打吧
-What the hell is this? -It's a Sicilian message.|-这是什么鬼东西?  -这是西西里人的口信
It means Luca Brasi sleeps with the fishes.|意思是卢卡·布拉西与鱼同眠了
-I'm goin' now. -What time you gonna be home?|-我要走了 -你什么时候回家?
I don't know. Probably late.|我不知道, 也许会很晚
-Don't forget the cannoli. -Yeah, yeah, yeah.|-别忘了煎饼卷 -好, 好, 好
Rocco, sit on the other side.|洛可, 坐另一边去
You block the rearview mirror.|你挡住后视镜了
That Sonny's running wild.|桑尼疯了
He's thinkin' of goin' to the mattresses already.|他已经在想去睡床垫, 跟对手开战了
We gotta find a spot over on the West Side.|我们得在西区找个地方藏身
We'll try 309 West 43rd Street.|我们去西43街309号试试
-You know any good spots on the West Side? -Yeah, I'll think about it.|-你知道西区有什么好地方吗?  -嗯, 我想想看
Think while you're drivin'.|一边开车一边想吧
I wanna hit New York sometime this month.|这个月我要找个时候去一趟纽约
And watch out for the kids when you're backin' out.|倒车出去时留意小孩子
Paulie, I want you to go down 39th Street, Carlo Santos|保利, 我要你沿着39街走, 去卡洛·桑托斯
pick up 18 mattresses for the guys to sleep.|去买18张床垫给他们睡
Bring me the bill.|然后把账单拿给我
-Yeah, all right. -Make sure they're clean.|-好的, 没问题  -确保要干净的
Those guys are gonna be stuck up in there for a long time.|那些家伙会被困在里面很长一段时间
They're clean. They told me they exterminate them.|它们很干净, 他们告诉我会消灭蛀虫的
"Exterminate"? That's a bad word to use.|"消灭"? 这个词用的不好
Exterminate. Get this guy.|消灭, 捉住这个家伙
Watch out, so we don't exterminate you!|小心点, 这样我们就不会消灭你了!
-Youse funny, or what? - I gotta take a leak.|-你觉得好笑吗?  -我要尿尿
Hey, Paulie? Pull over, will you?|嘿, 保利? 靠边停车, 好吗?
Leave the gun.|把枪留下
Take the cannoli.|把煎饼卷给我
Hey, Mike! Hey, Mikey!|嘿, 迈克! 嘿, 迈克!
Yeah.|哎
You're wanted on the telephone.|有你的电话
-Who is it? -It's some girl.|-是谁?  -是个女孩子
-Hello, Kay? -How's your father?|-你好, 凯?  -你爸爸怎么样?
He's good. He's gonna make it.|他很好, 他能活过来
I love you.|我爱你
-Huh? -I love you.|-嗯?  -我爱你
-Michael? -Yeah, I know.|-迈克尔?  -是, 我知道
Tell me you love me.|告诉我你爱我
I can't talk.|我不能说
Can't you say it?|你不能说吗?
Yeah, I'll see you tonight.|是, 我们晚上见
Hey Mikey, why don't you tell that nice girl you love her?|迈克, 你为什么不告诉那个漂亮女孩你爱她?
I love you with all my heart!|我全心全意的爱你
If I don't see you again a-soon, I'm-a gonna die!|如果我不能很快再见到你, 我会死的!
Come over here, kid. Learn somethin'.|到这来, 年轻人, 学点东西
You might have to cook for 20 guys someday.|也许有一天你得为20个男人做饭
You see? You start out with a little bit of oil. Then you fry some garlic.|你看到了吗? 先放一点油, 然后炒一些大蒜
Then you throw in some tomatoes, some tomato paste.|然后你加入一些西红柿, 一些番茄酱
You fry it. You make sure it doesn't stick.|煎一下, 你要确保它不会黏锅底
When you got it to a boil, shove in all your sausage and meatballs.|煮开了之后, 把香肠和肉丸都放进去
Huh?|嗯?
And a little bit of wine.|再加一点点酒
And a little bit of sugar.|以及一点点糖
And that's my trick.|这是我的秘方
Why don't you cut the crap?|你能不能别废话了?
I got more important things for you to do.|我有更重要的事让你去做
How's Paulie?|保利呢?
Oh, Paulie. Won't see him no more.|哦, 保利, 你再也见不到他了
Where you going?|你要去哪?
To the city.|到城里去
Send some bodyguards with him, all right?|派几个保镖跟他一起去, 好吗?
I'm just going to the hospital see Pop.|我只是去医院看爸爸
Nevermind, send somebody with him.|我不管, 派人跟他一起去
He'll be all right. Sollozzo knows he's a civilian.|他不会有事的, 索洛佐知道他是平民
-All right. Be careful, huh? -Yes, sir.|-好吧, 小心点, 嗯?  -是的, 先生
Send somebody with him anyway.|不管怎样都要派人跟他一起去
I have to go. Can I go with you?|-我得走了  -我能与你一起去吗?
No, Kay. There's gonna be detectives there. People from the press.|不, 凯, 那儿会有警探, 还有来自媒体的人
I'll ride in a cab.|那我在出租车里等你
I don't want you to get involved.|我不想让你卷入这件事
When will I see you again?|我什么时候能再见到你?
Go back to New Hampshire|回新罕布什尔去
and I'll call you at your parents' house.|我会打电话到你父母家找你
When will I see you again, Michael?|我什么时候能再见到你, 迈克尔?
I don't know.|我不知道
What are you doing here?|你在这儿干什么?
You're not supposed to be here now.|现在不是探病时间
I'm Michael Corleone.|我是迈克尔·柯里昂
This is my father.|这是我爸爸
There's nobody here. What happened to the guards?|这里没有人, 守卫到哪儿去了?
Your father just had too many visitors. They interfered with hospital service.|你父亲来访的人太多了, 他们干扰了医院的服务
The police made them leave about ten minutes ago.|警察在10分钟前让他们离开了
Get me Long Beach 4-5-6-2-0, please.|请帮我接长滩45620
Nurse, wait a minute. Stay here.|护士, 等一下, 先别走
Sonny, Michael. I'm at the hospital.|桑尼, 我是迈克尔, 我在医院
Listen. I got here late. There's nobody here. -What? Nobody?|-听着, 我很晚才到这儿, 这儿没有人  -什么? 没有人?
Nobody. No Tessio's men, no detectives, nobody.|没有人, 泰西欧的人不在, 也没有警探, 没有人
Pop is all alone.|爸爸单独一个人在这儿
-Don't panic. We'll send somebody. -I won't panic.|-别慌, 我马上派人去  -我不会慌
I'm sorry, but you will have to leave.|我很抱歉, 但你必须离开
Uh...|嗯...
You and I are gonna move my father to another room.|你帮我把我父亲转移到另一个房间
Can you disconnect those tubes so we can move the bed out?|你能把那些管子断开吗? 这样我们就可以把床搬出去了
-That's out of the question. -Do you know my father?|-那是不可能的  -你认识我父亲吗?
Men are coming here to kill him. You understand?|有人要来杀他, 你明白吗?
Now, help me, please.|现在, 请你给我帮忙
Who are you?|你是谁?
I am Enzo... the baker.|我是恩佐... 那个面包师
-You remember me? -Enzo?|-你还记得我吧? -恩佐?
Yes, Enzo.|是的, 我是恩佐
You better get out of here, Enzo. There's gonna be trouble.|你最好离开这儿, 恩佐, 这里会有麻烦的
If there is trouble, I stay here to help you.|要是有麻烦, 我留在这儿帮你
For your father. For your father.|为了你父亲, 为了你父亲
All right, listen.|好吧, 听我说
Wait for me outside, in front of the hospital. All right?|在外面等我, 到医院门口, 好吧?
I'll be out in a minute. Go ahead.|我马上出来, 快去
Okay. Okay.|好的, 好的
Just lie here, Pop.|躺在这儿吧, 爸爸
I'll take care of you now.|现在我来照顾你
I'm with you now. I'm with you.|现在我陪着你. 我和你在一起
Get rid of these.|把这个扔掉
Come here.|到这儿来
Put your hand in your pocket like you have a gun.|把手放在口袋里, 就像你有枪一样
You'll be all right.|你不会有事的
You'll be okay.|你会没事的
You did good.|你做得很好
I thought I got all you guinea hoods locked up.|我以为我把你们这些混混全关住了
What are you doing here?|你在这里干什么?
What happened to the men who were guarding my father, Captain?|守卫我父亲的人发生了什么事, 副巡长?
Why, you little punk. What the hell are you doing telling me my business!|干吗, 你这个小混混, 你对我的事指手画脚!
I pulled them guys off of here, eh.|是我把那些人全赶走的, 嗯
You get out of here and stay away from this hospital.|你滚出去, 离这家医院远点
I'm not moving until you put some guards around my father's room.|除非你在我父亲的病房周围安排了警卫, 否则我不会走
Phil, take him in!|菲尔, 把他带走!
The kid's clean, Captain.|那孩子是清白的, 副巡长
He's a war hero. He's never been busted...|他是战争英雄, 从未被当场逮住...
Goddamn it, I said take him in.|该死的, 我说把他带走
What's the Turk paying you to set up my father, Captain?|那个土耳其人给了你多少钱让你陷害我父亲, 副巡长?
Take ahold of him. Stand him up. Stand him up straight.|抓牢他, 让他站起来, 让他站稳
I'm the attorney for the Corleone family.|我是柯里昂家族的律师
These men are private detectives hired to protect Vito Corleone.|这些人是受雇保护维托·柯里昂的私家侦探
They're licensed to carry firearms.|他们有携带武器的执照
If you interfere, you'll have to appear before a judge in the morning and show cause.|如果你干预, 你将不得不在早上出现在法官面前并提出理由
All right, let him go.|好吧, 让他走
Come on.|走吧
What's with all the new faces?|这些新面孔是怎么回事
Gonna need 'em now.|我们现在需要他们
After the hospital thing, Sonny got mad.|医院的事情发生后, 桑尼气疯了
We hit Bruno Tattaglia at 4:00 this morning.|我们今晨4点干掉了布鲁诺·塔塔基利亚
Jesus Christ.|天呐
Looks like a fortress around here.|这里看起来像个堡垒
A hundred button men on the street, 24 hours a day.|街上一天24小时, 都有100个枪手在巡逻
That Turk shows one hair on his ass, he's dead. Believe me.|那个土耳其人露出屁股上的一根毛, 他就死定了, 相信我
Hey, Michael, come here. Let me look at you.|嘿, 迈克尔, 到这里来, 让我看看你
You look beautiful. Just beautiful. You're gorgeous.|你看起来很漂亮, 漂亮极了, 非常漂亮
Hey, listen to this.|嘿, 你们听我说
The Turk, he wants to talk.|那土耳其人, 他想谈判
Imagine the nerve on this son of a bitch.|想象一下这个狗娘养的有多紧张
Craps out last night, he wants a meeting today.|昨晚整我们, 今天想和谈
-What'd he say? -What did he say?|-他说什么?  -他说了什么?
He wants us to send Michael to hear the proposition.|他想让我们派迈克尔去听这个提议
And the promise is that the deal is so good that we can't refuse.|并保证交易条件好到我们不会拒绝
What about Bruno Tattaglia?|布鲁诺·塔塔基利亚呢?
That's part of the deal.|那是条件的一部分
Bruno cancels out what they did to my father.|布鲁诺取消了他们对我父亲所做的一切
Sonny, we ought to hear what they have to say.|桑尼, 我们应该听听他们要说什么
No. No. No more. Not this time, Consigliere.|不, 不, 不再听了, 这次不行, 军师
No more meetings, no discussions, no more Sollozzo tricks.|不再和谈, 不再讨论, 不再玩索洛佐的把戏
You give them one message. I want Sollozzo.|你给他们一个信息, 我要索洛佐
If not, it's all-out war. We go to the mattresses.|如果不行, 那就是全面战争, 我们去睡床垫
Some of the other families won't sit still for a war.|有些家族是不会坐视不管的
-Then they hand me Sollozzo. -Your father wouldn't like this.|-然后他们把索洛佐交给我  -你父亲不会喜欢这样的
This is business, not personal.|这是生意, 不是私人恩怨
They shot my father...|他们射杀了我父亲...
Even shooting your father was business|即使射杀你父亲也是生意
not personal, Sonny.|不是私人恩怨, 桑尼
Well, then business will have to suffer, all right?|那生意就必须要停, 行吗?
And listen, do me a favor, Tom.|听着, 帮我个忙, 汤姆
No more advice on how to patch things up.|别再建议我如何让事情过去
Just help me win, please. All right?|只要帮我赢, 好吗?
I found out about this McCluskey who broke Mike's jaw.|我查出了打断迈克下巴的麦克劳斯基
What about him?|他什么情况?
He's definitely on Sollozzo's payroll, and for big money.|他肯定在索洛佐的工资名单中, 而且是一大笔钱
McCluskey has agreed to be the Turk's bodyguard.|麦克劳斯基同意做土耳其人的保镖
What you have to understand, Sonny|桑尼, 你必须明白的是
is that while Sollozzo's being guarded like this|当索洛佐受到这样的保护时
he is invulnerable.|没人可以碰他了
Nobody has ever gunned down a New York police captain. Never.|从来没有人枪杀过纽约警察巡长, 从来没有
It would be disastrous.|那将是灾难性的
All the five families would come after you, Sonny.|所有五大家族都会追杀你, 桑尼
The Corleone family would be outcast.|柯里昂家族会被孤立
Even the old man's political protection would run for cover.|即使是老头的政治保护都会消失
So do me a favor.|所以帮我个忙
Take this into consideration.|别轻举妄动
All right, we'll wait.|好吧, 我们等
We can't wait.|我们不能等
Can't wait.|不能等
I don't care what Sollozzo says about a deal. He's gonna kill Pop. That's it.|我不在乎索洛佐怎么说交易的事, 他要杀了爸爸, 就是这样
That's the key for him.|这对他来说是关键
Got to get Sollozzo.|必须干掉索洛佐
Mike is right.|迈克说的对
Let me ask you something first.|我先问你个问题
What about this McCluskey, eh?|这个麦克劳斯基呢, 嗯?
What do we do with this cop?|我们该拿这个条子怎么办?
They want to have a meeting with me, right?|他们想和我开个会, 对吧?
It will be me, McCluskey and Sollozzo.|那会是我, 麦克劳斯基和索洛佐
Let's set the meeting.|我们来约定会议
Get our informers to find out where it's going to be held.|让我们的线人去查一下会议的地点
We insist it's a public place. A bar, a restaurant.|我们坚持必须是公开场所, 酒吧或餐厅
Someplace where there's people, so I feel safe.|有人的地方, 这样我才有安全感
They're gonna search me when I first meet them, right?|第一次见到他们时, 他们会搜我的身, 对吧?
So I can't have a weapon on me then.|所以我不能随身携带武器
But if Clemenza can figure a way|如果克莱门扎能想出一个办法
to have a weapon planted there for me|预先为我埋下武器
then I'll kill them both.|我就能杀了他们俩
Hey! What are you gonna do? Nice college boy, huh?|嘿! 你打算怎么做? 乖乖的大学生, 嗯?
Didn't want to get mixed up in the family business.|你不是不想卷入家族生意吗?
Now you want to gun down a police captain?|现在你又想枪杀一个警察巡长?
Why? 'Cause he slapped you in the face a little bit, eh?|为什么? 因为他在你脸上打了一拳, 嗯?
What do you think this is the army, where you shoot them a mile away?|你以为这是在军队吗, 在一英里外就开枪?
You gotta get up close, like this, bada bing!|你必须靠近, 像这样, 砰!
You blow their brains all over your nice Ivy League suit.|你把他们的脑浆都溅到你漂亮的常春藤盟校套装上了
-Come on, Mikey... You're taking this very personal.|-拜托, 迈克, 你把这件事看得太个人化了
Tom, this is business, and this man is taking it very, very personal.|汤姆, 这是公事, 而他却非常非常个人化了
Where does it say you can't kill a cop?|谁说不能杀条子了?
-Come on, Mikey. -Tom, wait a minute.|-别这样, 迈克  -汤姆, 慢着
I'm talking about a cop that's mixed up in drugs.|我说的是一个和毒品卷入在一起的条子
I'm talking about a dishonest cop|我说的是一个不诚实的条子
a crooked cop who got mixed up in the rackets and got what was coming to him.|一个被卷入不法勾当而得到应有惩罚的奸诈条子
That's a terrific story.|这是一个极好的故事
We have newspaper people on the payroll, don't we, Tom?|我们的工资单上不是有报社的人吗, 汤姆?
They might like a story like that.|他们可能喜欢这样的故事
They might. They just might.|他们可能, 他们只是可能
It's not personal, Sonny. It's strictly business.|这不是个人化的, 桑尼, 完全是公事
It's as cold as they come.|做过表面处理了
Impossible to trace, so you don't worry about prints, Mike.|无法追踪, 所以你不用担心指纹, 迈克
I put a special tape on the trigger and the butt.|我在扳机和枪托上贴了特殊胶布
Here. Try it.|来, 试试看
What's the matter, the trigger too tight?|怎么了, 扳机太紧了吗?
-My ears. -I left it noisy.|-我的耳朵  -我没安装消声器
That way it scares pain-in-the-ass innocent bystanders away.|这样就把那些讨厌的无辜旁观者吓跑了
All right, you shot them both.|好了, 你杀了他们两个
Now what do you do?|接下来你怎么办?
Sit down, finish my dinner.|坐下, 把我的晚饭吃完
Come on, kid. Don't fool around.|来吧, 孩子, 别糊弄了
Just let your hand drop to your side and let the gun slip out.|把你的手垂下, 让枪滑掉
Everybody will still think you got it.|每个人都会认为你还拿着枪
They're gonna be staring at your face, Mike|他们会瞪着你的脸, 迈克
so walk out of the place real fast, but you don't run.|所以快步离开那地方, 但不要跑
Don't look nobody directly in the eye, but don't look away, either.|不要直视任何人的眼睛, 但也不要把目光移开
They're gonna be scared stiff of you, believe me, so don't worry about nothing.|相信我, 他们会被你吓死的, 所以什么都不用担心
You know, you're gonna turn out all right.|你知道, 你可以全身而退
You take a long vacation, nobody knows where|你去度个长假, 没人知道去哪儿
and we're gonna catch the hell.|我们会接住地狱的
-How bad do you think it's gonna be? -Pretty goddamn bad.|-你觉得后果会有多糟? -非常他妈的糟糕
Probably all the other families will line up against us.|可能所有的家族会联合起来对付我们
That's all right.|没关系
These things gotta happen every five years or so Ten years.|这种事每5年或10年都会发生一次
Helps to get rid of the bad blood.|这有助于清除坏血
Been ten years since the last one.|上一次到现在已经有10年了
You gotta stop them at the beginning|你得从一开始就阻止他们
like they should have stopped Hitler at Munich.|就像他们应该在慕尼黑阻止希特勒一样
They should have never let him get away with that. They was just asking for big trouble.|他们不该让他得逞的, 他们这是自找麻烦
You know, Mike|知道吗, 迈克
we was all proud of you, being a hero and all.|我们都为你感到骄傲, 你是一个英雄
Your father too.|你父亲也是
Nothing. Not a hint. Absolutely nothing.|没有任何线索, 没有任何迹象, 什么都没有
Even Sollozzo's people don't know where the meeting will be held.|索洛佐的人也不知道在哪里开会
How much time do we have?|我们还有多少时间?
They're going to pick you up in front of Jack Dempsey's joint in an hour and a half. Exactly an hour and a half.|一个半小时后, 他们会在杰克·邓普西的酒吧前接你
We could put a tail on them, see how it turns out.|我们可以派人跟踪他们, 看看结果如何
Sollozzo'll lose our ass going around the block.|索洛佐会在街上乱转, 甩掉我们的人
What about the negotiator?|谈判的协商人呢?
He's over at my place playing pinochle with a couple of my men.|他在我家和我的几个手下玩皮诺奇纸牌
He's happy. They're letting him win.|他很开心, 他们让他赢了
It's too much of a risk for Mike.|这对迈克来说太危险了
Maybe we ought to call it off, Sonny.|也许我们应该取消, 桑尼
The negotiator keeps playing cards until Mike's back safe and sound.|协商人一直在打牌, 直到迈克安然无恙地回来才让他走
Why doesn't he blast who's ever in the goddamn car?|为什么不把车里该死的人都炸了?
Too dangerous. They'll be looking for that.|太危险了, 他们会留心的
Sollozzo might not even be in the car, Sonny.|索洛佐可能根本不在车里, 桑尼
I got it.|我来接
Louis Restaurant in the Bronx.|布朗克斯的路易斯餐厅
Is it reliable?|消息可靠吗?
That's my man in McCluskey's precinct.|这是我在麦克劳斯基警区里的人
A police captain's got to be on call 24 hours a day.|警察巡长必须全天24小时待命
He signed out at that number between 8:00 and 10:00.|他在8点到10点之间用那个号码签了名
Anybody know this joint?|有谁知道那个地方?
Yeah, sure. I do.|对, 确实, 我知道
It's perfect for us.|对我们太理想了
A small family place, good food.|一个小家庭餐厅, 食物精美
Everyone minds his business. It's perfect.|每个人都只关心自己的事, 太完美了
Pete, they got an old-fashioned toilet.|皮特, 那儿有个旧式马桶
You know, the box and the chain thing.|你知道, 就是水箱有吊链的那种
We might be able to tape the gun behind it.|我们也许可以用胶带把枪粘在它后面
All right. Mike, you go to the restaurant|好的, 迈克, 你去了餐厅
You eat, you talk for a while, you relax.|你吃点东西, 聊会儿天, 放松一下
You make them relax.|也可以让他们放松下来
Then you get up and go take a leak.|然后你站起来去上厕所
No, better still, you ask for permission to go.|不, 更好的办法是, 你先征求对方同意再去
And when you come back, you come out blasting.|当你回来的时候, 就开枪
And don't take any chances. Two shots in the head apiece.|不要心存侥幸, 每人头上各开2枪
listen. I want somebody good, and I mean very good to plant that gun.|听着, 我的意思是, 我要一个好手去藏枪
I don't want him coming out with just his dick in his hands.|我不希望我弟弟出来时手无寸铁
The gun will be there.|枪会在那里的
All right, listen. You drive him and you pick him up after the job.|好吧, 听着, 你开车送他, 事后再接他回来
Come on. Let's move.|来吧, 我们行动
Did he tell you to drop the gun right away?|他告诉过你事成之后立刻丢枪了吗?
Yeah, a million times.|说了, 上百万次了
Don't forget, two shots apiece in the head as soon as you come out the door.|切记, 你一出门就朝每人头上各开2枪
How long do you think it'll be before I can come back?|你们认为要多久我才能回家?
At least a year, Mike.|至少得一年, 迈克
Listen, I'll square with Mom you not seeing her before you leave...|听着, 我会和妈妈说清楚, 你临走前不能去看她...
and I'll get a message to that girlfriend when the time is right.|时机成熟时, 我会告诉你的女朋友
Take care.|保重
See you, Mike.|再见, 迈克
I'm glad you came, Mike.|我很高兴你来了, 迈克
I hope we can straighten everything out.|我希望我们能把一切都弄清楚
This is terrible. It's not the way I wanted things to go at all.|这太可怕了, 根本不是我想要的结果
It should have never happened.|根本不应该发生这种事的
I want to straighten everything out tonight.|我想今晚把一切都弄清楚
I don't want my father bothered anymore.|我不想让我父亲再烦恼了
He won't be, Mike.|他不会的, 迈克
I swear on my children he won't be.|我以我的孩子们发誓他不会的
But you got to keep an open mind when we talk.|不过我们谈话的时候, 你得坦诚才行
I hope you're not a hothead like your brother Sonny.|我希望你不像你哥哥桑尼那样急性子
You can't talk business with him.|简直不能和他谈生意
He's a good kid.|他是个好孩子
I'm sorry about the other night, Mike.|那晚的事我很抱歉, 迈克
